id,type,latitude,longitude,streetName,streetNumber,altitude,slots,bikes,nearbyStations,status,updateTime
1,BIKE,41.437396,2.182954,Napols,161,35,35,6,"35,19",OPN,01/03/19 08:25:41
1,BIKE,41.437396,2.182954,Napols,15,35,35,33,"9,13,39",OPN,16/03/19 19:02:24
1,BIKE,41.437396,2.182954,Napols,29,35,35,30,"9,7",OPN,15/03/19 08:49:22
1,BIKE,41.437396,2.182954,Napols,175,35,35,36,"46,45,1",OPN,16/03/19 19:59:28
1,BIKE,41.437396,2.182954,Napols,136,35,35,3,"2,29",OPN,01/03/19 09:38:58
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,3,35,35,1,"31,14,24",OPN,11/03/19 08:40:14
1,BIKE,41.437396,2.182954,Napols,297,35,35,11,"28,14",OPN,01/03/19 19:13:13
1,BIKE,41.437396,2.182954,Napols,233,35,35,5,"52,30",OPN,11/03/19 12:50:03
1,BIKE,41.437396,2.182954,Napols,161,35,35,30,"28,44",OPN,14/03/19 08:47:44
1,BIKE,41.437396,2.182954,Napols,315,35,35,7,"45,40",OPN,01/03/19 01:26:40
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,310,35,35,10,"10,40,11",OPN,13/03/19 06:42:36
1,BIKE,41.437396,2.182954,Napols,311,35,35,35,"2,50,52,25",OPN,01/03/19 07:57:01
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,83,35,35,29,"42,5,6",OPN,13/03/19 08:36:47
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,282,35,35,7,"40,46,47",OPN,13/03/19 13:11:48
1,BIKE,41.437396,2.182954,Napols,161,35,35,13,"34,28,29",OPN,01/03/19 08:19:56
1,BIKE,41.437396,2.182954,Napols,232,35,35,18,"52,6,46,31",OPN,01/03/19 02:11:55
1,BIKE,41.437396,2.182954,Napols,275,35,35,23,"24,26,48",OPN,01/03/19 08:19:15
1,BIKE,41.437396,2.182954,Napols,53,35,35,33,"43,52",OPN,01/03/19 08:53:42
1,BIKE,41.437396,2.182954,Napols,143,35,35,31,"9,16",OPN,05/03/19 23:11:24
1,BIKE,41.437396,2.182954,Napols,42,35,35,35,"9,46",OPN,09/03/19 08:53:35
1,BIKE,41.437396,2.182954,Napols,90,35,35,1,"32,39",OPN,01/03/19 06:17:19
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,132,35,35,8,"29,27,33",OPN,04/03/19 12:29:39
1,ELECTRIC_BIKE,41.437396,2.182954,Napols,273,35,35,20,"25,7,52",OPN,01/03/19 19:31:57
1,BIKE,41.437396,2.182954,Napols,276,35,35,1,"12,33",OPN,14/03/19 18:07:39
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,125,94,21,7,"12,40",OPN,01/03/19 18:11:55
2,BIKE,41.403888,2.173188,Carrer de Balmes,106,94,21,3,"36,38",OPN,01/03/19 19:18:55
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,170,94,21,20,"47,21,24",OPN,16/03/19 13:03:07
2,BIKE,41.403888,2.173188,Carrer de Balmes,291,94,21,1,,OPN,13/03/19 23:45:57
2,BIKE,41.403888,2.173188,Carrer de Balmes,312,94,21,3,"30,28",OPN,01/03/19 01:32:49
2,BIKE,41.403888,2.173188,Carrer de Balmes,73,94,21,4,"18,35,27,40",OPN,10/03/19 18:50:25
2,BIKE,41.403888,2.173188,Carrer de Balmes,60,94,21,3,"32,26",OPN,01/03/19 18:51:36
2,BIKE,41.403888,2.173188,Carrer de Balmes,226,94,21,12,"31,7,30",OPN,01/03/19 19:20:37
2,BIKE,41.403888,2.173188,Carrer de Balmes,97,94,21,8,"30,17,39",OPN,01/03/19 09:49:47
2,BIKE,41.403888,2.173188,Carrer de Balmes,64,94,21,20,"3,2,9,11",OPN,01/03/19 18:03:48
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,10,94,21,5,"2,52,23",OPN,01/03/19 07:25:06
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,129,94,21,11,"40,32,15",OPN,14/03/19 13:39:00
2,BIKE,41.403888,2.173188,Carrer de Balmes,125,94,21,14,"40,48",OPN,11/03/19 08:27:14
2,BIKE,41.403888,2.173188,Carrer de Balmes,180,94,21,13,"34,31,3,46",OPN,13/03/19 12:44:31
2,BIKE,41.403888,2.173188,Carrer de Balmes,64,94,21,17,"13,3,24,37",OPN,06/03/19 17:51:50
2,BIKE,41.403888,2.173188,Carrer de Balmes,s/n,94,21,4,"7,37,12",OPN,01/03/19 08:25:39
2,BIKE,41.403888,2.173188,Carrer de Balmes,217,94,21,11,"24,11,43",OPN,03/03/19 07:16:08
2,BIKE,41.403888,2.173188,Carrer de Balmes,148,94,21,17,"34,33,49",OPN,06/03/19 08:34:43
2,BIKE,41.403888,2.173188,Carrer de Balmes,58,94,21,18,"3,32,19",OPN,06/03/19 13:52:28
2,BIKE,41.403888,2.173188,Carrer de Balmes,162,94,21,13,"28,22,23",OPN,13/03/19 17:59:22
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,216,94,21,14,"30,47,19,11",OPN,01/03/19 17:48:46
2,BIKE,41.403888,2.173188,Carrer de Balmes,119,94,21,19,"38,40",OPN,12/03/19 06:14:17
2,BIKE,41.403888,2.173188,Carrer de Balmes,85,94,21,13,"23,15,20",OPN,01/03/19 18:12:37
2,ELECTRIC_BIKE,41.403888,2.173188,Carrer de Balmes,162,94,21,20,"40,28,17",OPN,15/03/19 17:34:10
3,ELECTRIC_BIKE,41.44586,2.176413,Passeig de Gracia,114,35,24,3,"23,49,34",OPN,06/03/19 01:24:22
3,BIKE,41.44586,2.176413,Passeig de Gracia,128,35,24,8,"51,24",OPN,16/03/19 08:36:33
3,BIKE,41.44586,2.176413,Passeig de Gracia,112,35,24,2,"17,28,11,26",OPN,01/03/19 09:55:37
3,BIKE,41.44586,2.176413,Passeig de Gracia,97,35,24,2,"34,43,7,21",OPN,15/03/19 08:32:55
3,BIKE,41.44586,2.176413,Passeig de Gracia,229,35,24,11,"2,40",OPN,01/03/19 06:21:17
3,BIKE,41.44586,2.176413,Passeig de Gracia,147,35,24,5,"1,52,2,23",OPN,05/03/19 07:52:53
3,BIKE,41.44586,2.176413,Passeig de Gracia,149,35,24,10,"15,8,11,6",OPN,01/03/19 01:26:48
3,BIKE,41.44586,2.176413,Passeig de Gracia,209,35,24,10,"7,9,1",OPN,12/03/19 06:36:21
3,ELECTRIC_BIKE,41.44586,2.176413,Passeig de Gracia,116,35,24,15,"17,29",OPN,01/03/19 08:08:08
3,ELECTRIC_BIKE,41.44586,2.176413,Passeig de Gracia,33,35,24,23,"12,28,17",OPN,14/03/19 18:30:15
