id,latitude,longitude,streetNumber,nearbyStations
1,41.42251,2.150346,s/n,"29,31,4,36"
2,41.449721,2.140222,88,"22,8,5"
3,,2.156521,191,"17,36,1,21"
4,41.382521,2.17258,s/n,"33,25,8,14"
5,41.390017,2.128088,75,"37,30"
6,41.447355,2.150447,129,"6,3"
7,41.360527,2.130698,170,"31,27"
8,41.442123,2.172996,299,"11,30"
9,41.439707,2.186444,153,"38,27,17,10"
10,41.406793,2.150148,106,"21,5,35"
11,41.390303,2.149738,97,"34,21,6"
12,41.387843,2.163162,134,"11,30"
13,41.385487,2.137205,278,"23,22,34,12"
14,41.404508,2.139793,s/n,"32,35,12,28"
15,41.410455,2.146388,74,"7,29"
16,41.41535,2.156594,174,"7,28,27"
17,41.45955,2.126523,s/n,"2,13"
18,41.439266,2.180219,284,"27,9,8"
19,41.422218,2.166324,85,"19,33,11"
20,41.458896,2.143976,266,"12,17,15"
21,41.381531,2.126204,256,"9,3,32"
22,41.376021,2.181054,113,"28,7"
23,41.421254,2.130486,101,"17,37,14,9"
24,41.364394,2.130657,80,"11,23,3"
25,41.363568,2.130455,s/n,"3,15,5"
26,41.411489,2.126501,265,"14,30,31,18"
27,41.406621,2.192511,s/n,"37,34,33"
28,41.451717,2.14154,148,"20,15,9"
29,41.422923,2.144513,280,"11,3,15,12"
30,41.411412,2.186624,205,"37,17,39,28"
31,41.409687,2.169594,40,"6,1,7,15"
32,41.384751,2.134971,22,"37,23"
33,41.361179,2.154785,67,"24,13,30"
34,41.37924,2.190714,260,
35,41.429203,2.15003,68,"18,8,23"
36,41.380061,2.176871,94,"7,21"
37,41.396954,2.127745,162,"30,22,33,6"
38,41.360373,2.178186,148,"17,16"
39,41.443005,2.182118,23,"16,26,14,21"
40,41.375446,2.186061,60,"5,33"
41,41.38676,2.173936,298,"23,15,4,34"
42,41.448033,2.149659,126,"7,32,36"
43,41.410979,2.125137,84,"8,13,27"
44,41.444715,2.161502,248,"36,35,3"
45,41.423972,2.180597,140,"19,39"
46,41.434177,2.135267,248,"19,28,18"
47,41.36915,2.141299,48,"22,13,38,30"
48,41.414114,2.16289,142,"30,10,13"
49,41.410777,2.179867,243,"1,19"
50,41.447134,2.191727,s/n,"7,18,19"
51,41.396126,2.130059,203,"39,20"
52,41.419818,2.134742,137,"8,6,12"
53,41.365925,2.183963,247,"24,5,8,36"
54,41.398763,2.171562,112,"11,22,28"
55,41.392304,2.177678,198,"13,32"
56,41.37502,2.199742,164,"8,10,16,17"
57,41.441634,2.195134,91,"34,21"
58,41.397945,2.187442,61,"29,12,3"
59,41.457875,2.182169,160,"18,37,6"
60,41.418999,2.151602,95,"26,34,17,6"
