error,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime
0,34,4,30,2019-03-01 00:00:00
0,18,2,16,2019-03-01 00:05:00
0,39,5,34,2019-03-01 00:10:00
0,41,5,36,2019-03-01 00:15:00
0,7,1,6,2019-03-01 00:20:00
0,14,2,12,2019-03-01 00:25:00
0,32,4,28,2019-03-01 00:30:00
0,26,3,23,2019-03-01 00:35:00
0,30,4,26,2019-03-01 00:40:00
0,20,2,18,2019-03-01 00:45:00
0,41,5,36,2019-03-01 00:50:00
0,39,5,34,2019-03-01 00:55:00
0,25,3,22,2019-03-01 01:00:00
0,38,5,33,2019-03-01 01:05:00
0,30,4,26,2019-03-01 01:10:00
0,14,2,12,2019-03-01 01:15:00
0,28,3,25,2019-03-01 01:20:00
0,12,1,11,2019-03-01 01:25:00
0,35,4,31,2019-03-01 01:30:00
0,23,3,20,2019-03-01 01:35:00
0,22,3,19,2019-03-01 01:40:00
0,16,2,14,2019-03-01 01:45:00
0,39,5,34,2019-03-01 01:50:00
0,22,3,19,2019-03-01 01:55:00
0,17,2,15,2019-03-01 02:00:00
0,18,2,16,2019-03-01 02:05:00
0,28,3,25,2019-03-01 02:10:00
0,26,3,23,2019-03-01 02:15:00
0,27,3,24,2019-03-01 02:20:00
0,27,3,24,2019-03-01 02:25:00
0,48,6,42,2019-03-01 02:30:00
0,17,2,15,2019-03-01 02:35:00
0,16,2,14,2019-03-01 02:40:00
0,12,1,11,2019-03-01 02:45:00
0,29,3,26,2019-03-01 02:50:00
0,36,4,32,2019-03-01 02:55:00
0,21,3,18,2019-03-01 03:00:00
0,12,1,11,2019-03-01 03:05:00
0,12,1,11,2019-03-01 03:10:00
0,30,4,26,2019-03-01 03:15:00
0,31,4,27,2019-03-01 03:20:00
0,29,3,26,2019-03-01 03:25:00
0,14,2,12,2019-03-01 03:30:00
0,25,3,22,2019-03-01 03:35:00
0,23,3,20,2019-03-01 03:40:00
0,25,3,22,2019-03-01 03:45:00
0,32,4,28,2019-03-01 03:50:00
0,25,3,22,2019-03-01 03:55:00
0,34,4,30,2019-03-01 04:00:00
0,27,3,24,2019-03-01 04:05:00
0,29,3,26,2019-03-01 04:10:00
0,34,4,30,2019-03-01 04:15:00
0,9,1,8,2019-03-01 04:20:00
0,22,3,19,2019-03-01 04:25:00
0,20,2,18,2019-03-01 04:30:00
0,18,2,16,2019-03-01 04:35:00
0,23,3,20,2019-03-01 04:40:00
0,44,5,39,2019-03-01 04:45:00
0,16,2,14,2019-03-01 04:50:00
0,38,5,33,2019-03-01 04:55:00
0,25,3,22,2019-03-01 05:00:00
0,41,5,36,2019-03-01 05:05:00
0,47,6,41,2019-03-01 05:10:00
0,52,6,46,2019-03-01 05:15:00
0,54,6,48,2019-03-01 05:20:00
0,55,7,48,2019-03-01 05:25:00
0,41,5,36,2019-03-01 05:30:00
0,39,5,34,2019-03-01 05:35:00
0,55,7,48,2019-03-01 05:40:00
0,43,5,38,2019-03-01 05:45:00
0,30,4,26,2019-03-01 05:50:00
0,31,4,27,2019-03-01 05:55:00
0,99,12,87,2019-03-01 06:00:00
0,116,14,102,2019-03-01 06:05:00
0,112,13,99,2019-03-01 06:10:00
0,118,14,104,2019-03-01 06:15:00
0,105,13,92,2019-03-01 06:20:00
0,112,13,99,2019-03-01 06:25:00
0,118,14,104,2019-03-01 06:30:00
0,106,13,93,2019-03-01 06:35:00
0,115,14,101,2019-03-01 06:40:00
0,102,12,90,2019-03-01 06:45:00
0,106,13,93,2019-03-01 06:50:00
0,105,13,92,2019-03-01 06:55:00
0,186,22,164,2019-03-01 07:00:00
0,206,25,181,2019-03-01 07:05:00
0,194,23,171,2019-03-01 07:10:00
0,200,24,176,2019-03-01 07:15:00
0,206,25,181,2019-03-01 07:20:00
0,205,25,180,2019-03-01 07:25:00
0,208,25,183,2019-03-01 07:30:00
0,199,24,175,2019-03-01 07:35:00
0,195,23,172,2019-03-01 07:40:00
0,199,24,175,2019-03-01 07:45:00
0,180,22,158,2019-03-01 07:50:00
0,183,22,161,2019-03-01 07:55:00
0,284,34,250,2019-03-01 08:00:00
0,288,35,253,2019-03-01 08:05:00
0,305,37,268,2019-03-01 08:10:00
0,289,35,254,2019-03-01 08:15:00
0,295,35,260,2019-03-01 08:20:00
0,316,38,278,2019-03-01 08:25:00
0,296,36,260,2019-03-01 08:30:00
0,309,37,272,2019-03-01 08:35:00
0,289,35,254,2019-03-01 08:40:00
0,298,36,262,2019-03-01 08:45:00
0,289,35,254,2019-03-01 08:50:00
0,296,36,260,2019-03-01 08:55:00
0,260,31,229,2019-03-01 09:00:00
0,229,27,202,2019-03-01 09:05:00
0,255,31,224,2019-03-01 09:10:00
0,253,30,223,2019-03-01 09:15:00
0,243,29,214,2019-03-01 09:20:00
