trip_id,start_time,start_station,end_station,duration_min
T100000,2019-03-01 06:12:00,Carrer de Tarragona,Carrer de Sants,7
T100001,2019-03-01 06:30:00,Carrer de Muntaner,Carrer de Pau Claris,7
T100002,2019-03-01 06:36:00,Carrer de Provenca,Carrer de Pau Claris,10
T100003,2019-03-01 06:39:00,Gran Via Corts Catalanes,Napols,14
T100004,2019-03-01 06:40:00,Gran Via Corts Catalanes,Carrer del Rossello,12
T100005,2019-03-01 07:06:00,Carrer de Sardenya,Avinguda Diagonal,15
T100006,2019-03-01 07:12:00,Roger de Flor,Carrer de Mallorca,12
T100007,2019-03-01 07:14:00,Roger de Flor,Carrer de Pau Claris,16
T100008,2019-03-01 07:18:00,Passeig de Sant Joan,Avinguda Meridiana,6
T100009,2019-03-01 07:31:00,Passeig de Gracia,Roger de Flor,17
T100010,2019-03-01 07:37:00,Gran Via Corts Catalanes,Napols,13
T100011,2019-03-01 07:39:00,Carrer de Mallorca,Passeig de Gracia,9
T100012,2019-03-01 07:41:00,Roger de Flor,Avinguda Diagonal,11
T100013,2019-03-01 07:45:00,Napols,Passeig de Sant Joan,13
T100014,2019-03-01 07:49:00,Carrer de Arago,Passeig de Gracia,15
T100015,2019-03-01 07:52:00,Roger de Flor,Via Laietana,11
T100016,2019-03-01 07:59:00,Gran Via Corts Catalanes,Carrer de Sants,9
T100017,2019-03-01 08:02:00,Carrer de Provenca,Passeig de Gracia,10
T100018,2019-03-01 08:03:00,Carrer de Tarragona,Carrer de Sants,10
T100019,2019-03-01 08:03:00,Carrer de Pau Claris,Avinguda Meridiana,10
T100020,2019-03-01 08:04:00,Carrer del Rossello,Roger de Flor,10
T100021,2019-03-01 08:05:00,Carrer de Valencia,Via Laietana,14
T100022,2019-03-01 08:06:00,Passeig de Gracia,Carrer de Pau Claris,16
T100023,2019-03-01 08:09:00,Avinguda Diagonal,Carrer de Arago,14
T100024,2019-03-01 08:12:00,Carrer de Arago,Roger de Flor,19
T100025,2019-03-01 08:15:00,Carrer de Arago,Carrer de Mallorca,18
T100026,2019-03-01 08:18:00,Avinguda Diagonal,Carrer de Mallorca,13
T100027,2019-03-01 08:23:00,Passeig de Sant Joan,Carrer de Provenca,13
T100028,2019-03-01 08:23:00,Carrer de Pau Claris,Passeig de Sant Joan,15
T100029,2019-03-01 08:25:00,Carrer del Rossello,Avinguda Meridiana,11
T100030,2019-03-01 08:25:00,Gran Via Corts Catalanes,Via Laietana,13
T100031,2019-03-01 08:26:00,Carrer de Arago,Carrer de Pau Claris,15
T100032,2019-03-01 08:26:00,Napols,Napols,12
T100033,2019-03-01 08:28:00,Rambla Catalunya,Rambla Catalunya,14
T100034,2019-03-01 08:28:00,Carrer de Tarragona,Avinguda Meridiana,17
T100035,2019-03-01 08:30:00,Carrer de Sardenya,Passeig de Gracia,9
T100036,2019-03-01 08:31:00,Carrer de Arago,Roger de Flor,13
T100037,2019-03-01 08:35:00,Carrer de Valencia,Passeig de Sant Joan,14
T100038,2019-03-01 08:37:00,Passeig de Sant Joan,Avinguda Meridiana,19
T100039,2019-03-01 08:38:00,Roger de Flor,Napols,13
T100040,2019-03-01 08:39:00,Carrer de Sants,Napols,6
T100041,2019-03-01 08:43:00,Carrer del Rossello,Avinguda Diagonal,7
T100042,2019-03-01 08:49:00,Roger de Flor,Passeig de Sant Joan,14
T100043,2019-03-01 08:49:00,Carrer de Balmes,Gran Via Corts Catalanes,12
T100044,2019-03-01 08:50:00,Carrer de Provenca,Carrer de Sardenya,2
T100045,2019-03-01 08:54:00,Carrer de Arago,Gran Via Corts Catalanes,9
T100046,2019-03-01 08:54:00,Via Laietana,Rambla Catalunya,16
T100047,2019-03-01 08:56:00,Rambla Catalunya,Roger de Flor,20
T100048,2019-03-01 08:56:00,Carrer de Valencia,Napols,10
T100049,2019-03-01 08:57:00,Carrer de Sants,Carrer de Arago,10
T100050,2019-03-01 09:00:00,Carrer de Muntaner,Roger de Flor,7
T100051,2019-03-01 09:06:00,Carrer de Arago,Passeig de Gracia,10
T100052,2019-03-01 09:08:00,Carrer de Sants,Carrer de Arago,15
T100053,2019-03-01 09:13:00,Carrer de Sardenya,Avinguda Meridiana,13
T100054,2019-03-01 09:14:00,Carrer de Balmes,Gran Via Corts Catalanes,12
T100055,2019-03-01 09:20:00,Carrer de Provenca,Carrer de Mallorca,15
T100056,2019-03-01 09:22:00,Roger de Flor,Carrer de Mallorca,10
T100057,2019-03-01 09:26:00,Carrer de Provenca,Carrer de Sants,16
T100058,2019-03-01 09:30:00,Avinguda Meridiana,Roger de Flor,7
T100059,2019-03-01 09:34:00,Carrer de Muntaner,Gran Via Corts Catalanes,6
T100060,2019-03-01 09:34:00,Gran Via Corts Catalanes,Rambla Catalunya,9
T100061,2019-03-01 09:35:00,Passeig de Sant Joan,Carrer de Balmes,18
T100062,2019-03-01 09:37:00,Carrer de Muntaner,Via Laietana,11
T100063,2019-03-01 09:39:00,Passeig de Sant Joan,Passeig de Gracia,10
T100064,2019-03-01 09:40:00,Carrer de Provenca,Avinguda Meridiana,18
T100065,2019-03-01 12:07:00,Roger de Flor,Avinguda Meridiana,6
T100066,2019-03-01 12:09:00,Roger de Flor,Passeig de Gracia,4
T100067,2019-03-01 12:09:00,Gran Via Corts Catalanes,Carrer de Provenca,12
T100068,2019-03-01 12:10:00,Gran Via Corts Catalanes,Carrer de Valencia,8
T100069,2019-03-01 12:12:00,Carrer de Pau Claris,Carrer de Muntaner,15
