trip_id,start_time,start_station,end_station,duration_min
T2495,2019-03-01 07:11:00,Gran Via,Rambla Catalunya,13
T1638,2019-03-01 07:22:00,Carrer de Balmes,Gran Via,13
T1352,2019-03-01 07:25:00,Avinguda Diagonal,Avinguda Diagonal,16
T1241,2019-03-01 07:52:00,Napols,Napols,10
T2929,2019-03-01 08:06:00,Roger de Flor,Avinguda Diagonal,3
T2755,2019-03-01 08:14:00,Roger de Flor,Gran Via,17
T1373,2019-03-01 08:15:00,Roger de Flor,Carrer de Balmes,14
T1418,2019-03-01 08:21:00,Roger de Flor,Napols,15
T2813,2019-03-01 08:21:00,Roger de Flor,Napols,11
T2297,2019-03-01 08:26:00,Via Laietana,Passeig de Gracia,15
T2123,2019-03-01 08:27:00,Gran Via,Via Laietana,11
T2361,2019-03-01 08:33:00,Passeig de Gracia,Napols,15
T1013,2019-03-01 08:33:00,Napols,Carrer de Balmes,8
T2152,2019-03-01 08:43:00,Gran Via,Rambla Catalunya,13
T1830,2019-03-01 08:51:00,Carrer de Balmes,Rambla Catalunya,11
T2798,2019-03-01 09:13:00,Gran Via,Roger de Flor,15
T1544,2019-03-01 09:19:00,Roger de Flor,Gran Via,13
T1193,2019-03-01 09:23:00,Via Laietana,Passeig de Gracia,21
T1065,2019-03-01 09:31:00,Gran Via,Carrer de Balmes,7
T1630,2019-03-01 09:41:00,Passeig de Gracia,Rambla Catalunya,10
T2386,2019-03-01 09:53:00,Passeig de Gracia,Napols,11
T1884,2019-03-01 09:54:00,Gran Via,Via Laietana,9
T1075,2019-03-01 12:06:00,Avinguda Diagonal,Carrer de Balmes,16
T1375,2019-03-01 12:20:00,Gran Via,Rambla Catalunya,15
T2847,2019-03-01 12:25:00,Via Laietana,Roger de Flor,8
T1229,2019-03-01 12:36:00,Roger de Flor,Rambla Catalunya,16
T1197,2019-03-01 12:56:00,Roger de Flor,Napols,9
T2218,2019-03-01 17:08:00,Passeig de Gracia,Via Laietana,11
T2115,2019-03-01 17:35:00,Napols,Gran Via,10
T2116,2019-03-01 17:41:00,Via Laietana,Rambla Catalunya,9
T2229,2019-03-01 17:44:00,Avinguda Diagonal,Napols,11
T1140,2019-03-01 17:55:00,Gran Via,Napols,4
T2360,2019-03-01 18:04:00,Carrer de Balmes,Napols,13
T1393,2019-03-01 18:12:00,Napols,Napols,15
T1626,2019-03-01 18:18:00,Passeig de Gracia,Carrer de Balmes,14
T2731,2019-03-01 18:20:00,Napols,Avinguda Diagonal,10
T2773,2019-03-01 18:32:00,Via Laietana,Passeig de Gracia,19
T2128,2019-03-01 18:47:00,Napols,Gran Via,15
T1142,2019-03-01 18:50:00,Carrer de Balmes,Gran Via,17
T2907,2019-03-01 18:51:00,Carrer de Balmes,Roger de Flor,7
T1471,2019-03-01 18:53:00,Gran Via,Avinguda Diagonal,12
T1849,2019-03-01 19:08:00,Gran Via,Roger de Flor,14
T2193,2019-03-01 19:19:00,Carrer de Balmes,Gran Via,8
T2769,2019-03-01 19:45:00,Roger de Flor,Carrer de Balmes,20
T2745,2019-03-01 19:47:00,Passeig de Gracia,Avinguda Diagonal,13
T2090,2019-03-02 10:11:00,Roger de Flor,Via Laietana,30
T2646,2019-03-02 10:32:00,Passeig de Gracia,Roger de Flor,14
T1856,2019-03-02 10:37:00,Rambla Catalunya,Carrer de Balmes,9
T1419,2019-03-02 10:37:00,Rambla Catalunya,Napols,32
T1319,2019-03-02 10:38:00,Avinguda Diagonal,Avinguda Diagonal,16
T2719,2019-03-02 10:41:00,Avinguda Diagonal,Napols,29
T2074,2019-03-02 11:00:00,Rambla Catalunya,Napols,25
T1698,2019-03-02 11:02:00,Roger de Flor,Avinguda Diagonal,18
T2033,2019-03-02 11:19:00,Avinguda Diagonal,Passeig de Gracia,22
T1840,2019-03-02 11:23:00,Roger de Flor,Rambla Catalunya,29
T2259,2019-03-02 11:51:00,Gran Via,Avinguda Diagonal,24
T1454,2019-03-02 12:03:00,Passeig de Gracia,Gran Via,17
T2877,2019-03-02 12:06:00,Avinguda Diagonal,Avinguda Diagonal,18
T2681,2019-03-02 12:09:00,Roger de Flor,Napols,28
T2513,2019-03-02 12:25:00,Gran Via,Avinguda Diagonal,27
T2151,2019-03-02 12:32:00,Rambla Catalunya,Passeig de Gracia,6
T1926,2019-03-02 12:37:00,Gran Via,Carrer de Balmes,33
T1565,2019-03-02 12:37:00,Rambla Catalunya,Carrer de Balmes,16
T2546,2019-03-02 12:37:00,Carrer de Balmes,Via Laietana,31
T1904,2019-03-02 12:41:00,Roger de Flor,Rambla Catalunya,31
T2714,2019-03-02 12:57:00,Via Laietana,Passeig de Gracia,27
T2327,2019-03-02 12:59:00,Gran Via,Gran Via,16
T1761,2019-03-02 13:03:00,Napols,Via Laietana,11
T1349,2019-03-02 13:05:00,Passeig de Gracia,Napols,20
T1181,2019-03-02 13:07:00,Carrer de Balmes,Carrer de Balmes,32
T2162,2019-03-02 13:09:00,Passeig de Gracia,Via Laietana,24
T1871,2019-03-02 13:20:00,Passeig de Gracia,Rambla Catalunya,27
T1705,2019-03-02 13:22:00,Napols,Rambla Catalunya,22
T1371,2019-03-02 13:24:00,Via Laietana,Roger de Flor,25
T1584,2019-03-02 13:40:00,Napols,Passeig de Gracia,22
T2236,2019-03-02 13:48:00,Carrer de Balmes,Rambla Catalunya,11
T1132,2019-03-02 13:55:00,Napols,Rambla Catalunya,28
T1868,2019-03-02 13:56:00,Avinguda Diagonal,Carrer de Balmes,30
T2169,2019-03-02 14:00:00,Gran Via,Rambla Catalunya,39
T2310,2019-03-02 14:00:00,Rambla Catalunya,Napols,13
T2831,2019-03-02 14:01:00,Roger de Flor,Via Laietana,34
T1212,2019-03-02 14:06:00,Carrer de Balmes,Passeig de Gracia,37
T2527,2019-03-02 14:16:00,Rambla Catalunya,Rambla Catalunya,36
T1411,2019-03-02 14:19:00,Passeig de Gracia,Gran Via,24
T2986,2019-03-02 14:20:00,Via Laietana,Gran Via,27
T2871,2019-03-02 14:21:00,Napols,Napols,23
T1047,2019-03-02 14:27:00,Gran Via,Passeig de Gracia,30
T2967,2019-03-02 14:34:00,Via Laietana,Gran Via,19
T2643,2019-03-02 14:37:00,Via Laietana,Napols,17
T1105,2019-03-02 14:38:00,Passeig de Gracia,Rambla Catalunya,22
T1008,2019-03-02 14:38:00,Avinguda Diagonal,Rambla Catalunya,2
T2580,2019-03-02 14:42:00,Roger de Flor,Napols,22
T1385,2019-03-02 14:44:00,Passeig de Gracia,Napols,31
T1049,2019-03-02 14:53:00,Rambla Catalunya,Roger de Flor,26
T2457,2019-03-02 14:55:00,Carrer de Balmes,Rambla Catalunya,21
T1090,2019-03-02 14:55:00,Gran Via,Passeig de Gracia,9
T2925,2019-03-02 14:58:00,Passeig de Gracia,Passeig de Gracia,24
T1941,2019-03-02 15:01:00,Gran Via,Carrer de Balmes,19
T1192,2019-03-02 15:05:00,Gran Via,Avinguda Diagonal,31
T1174,2019-03-02 15:12:00,Carrer de Balmes,Roger de Flor,13
