id,streetNumber,nearbyStations,updateTime
1,184,"29,16",01/03/19 01:25:27
2,171,"36,23",06/03/19 08:04:45
3,206,"37,10",01/03/19 17:52:30
4,225,"26,14",01/03/19 17:03:20
5,229,"34,24",01/03/19 17:09:49
6,177,"30,24",01/03/19 07:48:22
7,22,"30,7",16/03/19 18:22:50
8,241,"9,28",10/03/19 17:05:47
9,290,"8,4",02/03/19 19:57:26
10,165,"22,38",03/03/19 19:45:42
11,s/n,"13,8",01/03/19 08:53:02
12,60,"29,10",01/03/19 18:42:23
13,138,"31,8",01/03/19 19:51:51
14,s/n,"8,39",12/03/19 01:17:34
15,232,"24,12",13/03/19 07:29:33
16,147,"18,24",01/03/19 07:49:39
17,55,"2,39",01/03/19 17:45:40
18,50,"19,38",13/03/19 08:15:35
19,160,"31,2",01/03/19 17:22:25
20,186,"32,21",01/03/19 02:06:11
21,264,"35,24",01/03/19 08:20:17
22,245,"11,28",01/03/19 08:38:17
23,174,"12,14",01/03/19 09:14:25
24,41,"23,13",18/03/19 17:34:59
25,247,"37,1",01/03/19 07:30:21
26,163,"15,2",15/03/19 08:19:26
27,253,"29,22",07/03/19 07:55:22
28,220,"6,3",08/03/19 18:14:34
29,95,"30,8",01/03/19 19:46:56
30,121,"33,13",18/03/19 08:16:53
31,124,"22,3",15/03/19 08:51:22
32,s/n,"20,2",01/03/19 09:20:16
33,231,"9,37",16/03/19 08:19:53
34,s/n,"39,17",01/03/19 08:18:29
35,209,"36,8",09/03/19 08:56:41
36,162,"23,28",16/03/19 09:07:04
37,123,"35,1",09/03/19 07:13:51
38,206,"24,10",01/03/19 18:13:18
39,53,"16,38",01/03/19 17:32:29
40,168,"26,36",01/03/19 08:04:11
41,44,"8,25",07/03/19 07:59:25
42,33,"37,4",01/03/19 18:16:49
43,249,"35,13",18/03/19 07:27:49
44,245,"17,2",11/03/19 07:09:28
45,202,"33,9",01/03/19 07:48:46
46,277,"39,1",13/03/19 07:40:27
47,182,"5,5",01/03/19 01:49:22
48,31,"27,25",16/03/19 08:39:32
49,115,"8,4",01/03/19 08:18:12
50,75,"11,7",01/03/19 19:31:18
51,216,"28,36",04/03/19 17:31:42
52,52,"17,14",01/03/19 08:48:46
53,181,"21,13",04/03/19 08:30:03
54,254,"8,4",02/03/19 01:10:43
55,s/n,"26,32",10/03/19 08:35:49
56,s/n,"21,27",01/03/19 18:29:26
57,211,"5,22",01/03/19 07:14:03
58,14,"27,25",01/03/19 18:08:40
59,160,"1,4",06/03/19 18:34:14
60,100,"39,11",01/03/19 19:21:38
61,210,"10,23",01/03/19 18:22:22
62,58,"29,38",01/03/19 08:16:38
63,148,"29,32",01/03/19 07:53:15
64,141,"36,25",13/03/19 09:17:28
65,149,"24,21",06/03/19 18:11:31
66,276,"9,1",01/03/19 08:53:37
67,s/n,"5,35",11/03/19 08:09:12
68,21,"12,3",02/03/19 09:04:57
69,236,"6,6",01/03/19 18:20:17
70,52,"15,28",02/03/19 01:51:18
71,23-25,"32,32",12/03/19 07:13:15
72,146,"38,31",01/03/19 08:23:04
73,23-25,"11,18",12/03/19 18:38:25
74,157,"26,7",01/03/19 17:58:46
75,176,"27,2",01/03/19 18:23:42
76,223,"9,34",10/03/19 02:48:11
77,143,"13,39",10/03/19 01:09:08
78,131,"33,10",08/03/19 19:02:19
79,209,"36,34",01/03/19 18:47:46
80,43,"39,16",01/03/19 08:22:29
81,264,"36,13",10/03/19 17:46:55
82,106,"14,20",12/03/19 08:16:39
83,176,"15,1",09/03/19 18:35:37
84,294,"29,18",01/03/19 18:48:46
85,228,"32,8",02/03/19 18:23:45
86,225,"9,28",04/03/19 09:03:20
87,244,"28,20",01/03/19 08:13:15
88,s/n,"24,34",01/03/19 08:54:26
89,132,"35,35",09/03/19 07:04:29
90,242,"39,13",01/03/19 19:04:08
91,79,"32,11",18/03/19 09:23:26
92,93,"34,37",01/03/19 08:13:38
93,263,"18,20",01/03/19 09:29:08
94,234,"5,4",01/03/19 18:49:08
95,75,"8,2",13/03/19 08:21:10
96,4,"16,39",01/03/19 19:56:16
97,145,"28,23",01/03/19 01:52:57
98,261,"29,3",05/03/19 08:13:01
99,164,"26,20",12/03/19 07:00:11
100,49,"5,20",15/03/19 18:24:09
101,145,"26,17",11/03/19 02:57:28
102,137,"36,38",01/03/19 07:50:00
103,181,"15,38",18/03/19 18:07:27
104,198,"10,5",01/03/19 19:09:09
105,74,"26,6",10/03/19 01:01:16
106,152,"13,16",02/03/19 07:45:47
107,147,"27,33",18/03/19 07:30:11
108,50,"35,25",01/03/19 02:26:37
109,s/n,"38,29",08/03/19 07:08:24
110,42,"35,23",08/03/19 07:49:25
111,59,"5,9",01/03/19 17:28:49
112,86,"17,32",06/03/19 09:40:09
113,291,"17,1",01/03/19 18:36:55
114,16,"17,28",15/03/19 08:12:53
115,257,"39,8",01/03/19 01:35:40
116,65,"13,19",17/03/19 08:19:02
117,284,"20,39",03/03/19 18:01:39
118,23-25,"16,22",01/03/19 07:58:36
119,183,"10,3",01/03/19 09:21:46
120,s/n,"16,17",01/03/19 07:56:12
121,s/n,"7,26",01/03/19 08:06:57
122,107,"13,3",17/03/19 08:02:53
123,122,"21,10",01/03/19 18:08:06
124,176,"29,1",01/03/19 09:16:18
125,220,"30,22",01/03/19 07:19:01
126,84,"29,15",01/03/19 02:51:49
127,115,"35,20",15/03/19 01:40:54
128,11,"39,12",01/03/19 01:56:59
129,78,"34,26",01/03/19 08:22:36
130,s/n,"37,7",01/03/19 08:45:39
131,242,"21,36",01/03/19 08:47:40
132,226,"10,38",01/03/19 07:23:34
133,231,"38,20",16/03/19 07:11:57
134,77,"29,19",01/03/19 09:53:36
135,65,"26,34",01/03/19 07:46:20
136,121,"29,12",06/03/19 07:22:30
137,128,"23,32",01/03/19 19:15:01
138,226,"23,12",17/03/19 09:23:43
139,259,"30,29",07/03/19 08:15:41
140,122,"25,14",01/03/19 18:35:25
141,65,"22,24",03/03/19 08:43:51
142,266,"9,37",01/03/19 09:57:45
143,161,"24,3",10/03/19 08:05:20
144,275,"11,32",01/03/19 09:31:04
145,117,"28,22",03/03/19 17:25:07
146,93,"20,15",04/03/19 09:33:11
147,19,"37,14",01/03/19 08:16:18
148,221,"33,3",01/03/19 18:58:26
149,149,"21,11",10/03/19 19:33:55
150,76,"17,25",12/03/19 07:00:16
151,134,"3,4",05/03/19 07:25:53
152,42,"23,27",01/03/19 07:43:40
153,291,"3,38",01/03/19 02:22:51
154,131,"18,39",01/03/19 02:11:24
155,90,"6,35",05/03/19 08:21:00
156,s/n,"26,32",01/03/19 02:05:47
157,238,"32,7",10/03/19 08:56:14
158,280,"7,38",01/03/19 09:04:08
159,204,"17,8",01/03/19 09:03:47
160,44,"25,34",05/03/19 01:02:41
161,126,"11,35",17/03/19 07:47:12
162,213,"3,25",01/03/19 08:13:16
163,247,"15,21",14/03/19 17:45:56
164,143,"24,8",14/03/19 07:45:16
165,s/n,"2,21",01/03/19 08:42:42
166,40,"38,12",01/03/19 09:25:07
167,103,"22,5",01/03/19 01:18:48
168,291,"14,5",01/03/19 18:30:07
169,59,"5,32",01/03/19 19:54:30
170,209,"36,36",01/03/19 18:20:02
171,64,"29,6",07/03/19 18:34:33
172,s/n,"37,1",01/03/19 19:09:50
173,48,"11,11",16/03/19 18:30:05
174,271,"30,6",01/03/19 18:11:16
175,294,"38,8",01/03/19 08:44:45
176,31,"34,23",01/03/19 07:49:36
177,212,"10,17",01/03/19 18:54:18
178,28,"5,17",01/03/19 07:34:37
179,246,"28,9",16/03/19 01:22:27
180,23-25,"38,26",05/03/19 17:42:51
181,15,"15,12",01/03/19 08:55:17
182,281,"31,16",16/03/19 01:43:45
183,276,"37,19",01/03/19 07:56:38
184,10,"28,36",01/03/19 09:12:44
185,117,"38,10",14/03/19 07:10:22
186,275,"17,29",18/03/19 02:29:43
187,105,"17,13",11/03/19 17:10:41
188,s/n,"25,35",01/03/19 19:08:23
189,s/n,"19,16",01/03/19 08:07:01
190,21,"30,20",01/03/19 19:19:57
191,148,"13,35",01/03/19 18:33:42
192,171,"24,27",11/03/19 17:13:12
193,277,"32,4",12/03/19 02:54:43
194,138,"34,6",01/03/19 08:29:16
195,251,"1,39",03/03/19 08:51:28
196,169,"11,2",13/03/19 18:03:51
197,130,"28,12",01/03/19 19:25:26
198,221,"17,38",01/03/19 08:22:17
199,254,"23,1",15/03/19 18:36:18
200,203,"27,7",01/03/19 08:30:04
201,186,"13,9",01/03/19 09:50:13
202,299,"36,4",15/03/19 18:36:16
203,181,"22,19",18/03/19 07:11:10
204,47,"22,24",04/03/19 18:42:03
205,275,"5,13",12/03/19 07:47:27
206,244,"23,5",01/03/19 02:27:12
207,111,"32,32",06/03/19 09:21:44
208,123,"21,32",06/03/19 08:53:55
209,199,"17,22",02/03/19 18:37:16
210,235,"19,6",01/03/19 09:04:34
211,211,"7,22",14/03/19 18:33:30
212,267,"4,25",07/03/19 07:31:04
213,22,"13,17",12/03/19 17:23:07
214,297,"35,34",01/03/19 09:51:53
215,146,"19,16",01/03/19 01:49:28
216,80,"32,20",01/03/19 07:48:48
217,65,"29,5",01/03/19 09:20:03
218,136,"28,22",01/03/19 17:50:35
219,91,"9,30",01/03/19 09:26:51
220,282,"21,29",01/03/19 07:57:52
221,149,"33,11",01/03/19 17:00:00
222,283,"32,39",10/03/19 08:29:31
223,202,"21,29",01/03/19 08:14:22
224,112,"31,17",01/03/19 19:33:45
225,120,"32,17",14/03/19 08:45:04
226,282,"35,31",01/03/19 09:22:15
227,197,"22,7",01/03/19 18:17:48
228,122,"33,25",15/03/19 18:25:28
229,224,"23,29",01/03/19 09:58:27
230,113,"39,21",12/03/19 19:45:58
231,66,"16,35",01/03/19 09:58:19
232,227,"26,19",10/03/19 17:24:02
233,26,"8,19",09/03/19 19:44:23
234,141,"37,12",01/03/19 18:00:09
235,124,"38,36",01/03/19 17:10:04
236,135,"33,13",16/03/19 08:04:34
237,s/n,"31,28",09/03/19 09:14:57
238,116,"36,16",01/03/19 08:34:34
239,37,"25,37",01/03/19 18:31:38
240,130,"36,37",01/03/19 08:46:19
