bikesInUsage,dateTime
28,2019-03-01 00:00:00
32,2019-03-01 00:05:00
25,2019-03-01 00:10:00
17,2019-03-01 00:15:00
23,2019-03-01 00:20:00
16,2019-03-01 00:25:00
29,2019-03-01 00:30:00
44,2019-03-01 00:35:00
22,2019-03-01 00:40:00
21,2019-03-01 00:45:00
34,2019-03-01 00:50:00
32,2019-03-01 00:55:00
25,2019-03-01 01:00:00
13,2019-03-01 01:05:00
24,2019-03-01 01:10:00
32,2019-03-01 01:15:00
8,2019-03-01 01:20:00
19,2019-03-01 01:25:00
1,2019-03-01 01:30:00
9,2019-03-01 01:35:00
2,2019-03-01 01:40:00
21,2019-03-01 01:45:00
9,2019-03-01 01:50:00
27,2019-03-01 01:55:00
24,2019-03-01 02:00:00
20,2019-03-01 02:05:00
0,2019-03-01 02:10:00
16,2019-03-01 02:15:00
21,2019-03-01 02:20:00
23,2019-03-01 02:25:00
4,2019-03-01 02:30:00
16,2019-03-01 02:35:00
10,2019-03-01 02:40:00
12,2019-03-01 02:45:00
35,2019-03-01 02:50:00
12,2019-03-01 02:55:00
22,2019-03-01 03:00:00
33,2019-03-01 03:05:00
15,2019-03-01 03:10:00
21,2019-03-01 03:15:00
23,2019-03-01 03:20:00
23,2019-03-01 03:25:00
7,2019-03-01 03:30:00
23,2019-03-01 03:35:00
38,2019-03-01 03:40:00
3,2019-03-01 03:45:00
32,2019-03-01 03:50:00
23,2019-03-01 03:55:00
18,2019-03-01 04:00:00
50,2019-03-01 04:05:00
35,2019-03-01 04:10:00
12,2019-03-01 04:15:00
27,2019-03-01 04:20:00
33,2019-03-01 04:25:00
24,2019-03-01 04:30:00
34,2019-03-01 04:35:00
25,2019-03-01 04:40:00
34,2019-03-01 04:45:00
43,2019-03-01 04:50:00
18,2019-03-01 04:55:00
47,2019-03-01 05:00:00
39,2019-03-01 05:05:00
47,2019-03-01 05:10:00
31,2019-03-01 05:15:00
38,2019-03-01 05:20:00
43,2019-03-01 05:25:00
56,2019-03-01 05:30:00
59,2019-03-01 05:35:00
29,2019-03-01 05:40:00
35,2019-03-01 05:45:00
53,2019-03-01 05:50:00
21,2019-03-01 05:55:00
104,2019-03-01 06:00:00
109,2019-03-01 06:05:00
