trip_id,start_time,start_station,end_station,duration_min
T100000,2019-03-01 06:36:00,Trindade,São Bento,15
T100001,2019-03-01 07:05:00,Trindade,Trindade,8
T100002,2019-03-01 07:07:00,Aliados,Campanhã,9
T100003,2019-03-01 09:57:00,Casa da Música,Aliados,17
T100004,2019-03-01 12:11:00,Aliados,Marquês,11
T100005,2019-03-01 18:06:00,Aliados,Casa da Música,10
T100006,2019-03-02 09:17:00,Campanhã,Casa da Música,10
T100007,2019-03-02 09:40:00,Aliados,Bolhão,37
T100008,2019-03-02 11:41:00,Trindade,Bolhão,26
T100009,2019-03-02 12:03:00,Trindade,Bolhão,32
T100010,2019-03-02 13:30:00,Aliados,Marquês,14
T100011,2019-03-02 16:41:00,Campanhã,Marquês,38
T100012,2019-03-02 17:13:00,Trindade,Aliados,34
T100013,2019-03-02 18:47:00,Trindade,Marquês,25
T100014,2019-03-03 05:08:00,Aliados,São Bento,17
T100015,2019-03-03 08:14:00,São Bento,São Bento,34
T100016,2019-03-03 13:58:00,Aliados,Campanhã,34
T100017,2019-03-03 17:25:00,Aliados,Casa da Música,15
T100018,2019-03-03 18:14:00,Aliados,Trindade,19
T100019,2019-03-03 18:20:00,Aliados,Marquês,25
T100020,2019-03-03 18:30:00,Aliados,Aliados,35
T100021,2019-03-03 18:36:00,Aliados,Aliados,17
T100022,2019-03-03 19:42:00,Trindade,Marquês,28
T100023,2019-03-04 07:00:00,Trindade,São Bento,15
T100024,2019-03-04 07:43:00,Casa da Música,Trindade,12
T100025,2019-03-04 08:17:00,Casa da Música,São Bento,10
T100026,2019-03-04 08:51:00,Aliados,Casa da Música,12
T100027,2019-03-04 08:59:00,Aliados,Trindade,14
T100028,2019-03-04 09:58:00,Campanhã,Campanhã,8
T100029,2019-03-04 12:31:00,Trindade,Marquês,17
T100030,2019-03-04 13:00:00,Trindade,Marquês,11
T100031,2019-03-04 13:36:00,Trindade,Trindade,8
T100032,2019-03-04 19:26:00,Trindade,Casa da Música,15
T100033,2019-03-04 19:54:00,Trindade,Bolhão,16
T100034,2019-03-05 05:26:00,Aliados,Casa da Música,14
T100035,2019-03-05 07:22:00,Aliados,Marquês,17
T100036,2019-03-05 07:50:00,Trindade,Marquês,13
T100037,2019-03-05 08:17:00,Aliados,Marquês,9
T100038,2019-03-05 08:51:00,Trindade,São Bento,12
T100039,2019-03-05 09:00:00,Trindade,Casa da Música,12
T100040,2019-03-05 09:49:00,Aliados,Campanhã,11
T100041,2019-03-05 15:32:00,Marquês,Casa da Música,19
T100042,2019-03-05 16:15:00,Aliados,Marquês,12
T100043,2019-03-05 18:29:00,Aliados,Campanhã,8
T100044,2019-03-05 18:31:00,Trindade,Trindade,7
T100045,2019-03-05 18:32:00,Aliados,Campanhã,9
T100046,2019-03-05 19:18:00,Aliados,São Bento,12
T100047,2019-03-05 21:08:00,Aliados,Marquês,7
T100048,2019-03-06 07:38:00,Aliados,Casa da Música,13
T100049,2019-03-06 07:51:00,Aliados,São Bento,15
T100050,2019-03-06 08:00:00,São Bento,São Bento,18
T100051,2019-03-06 08:46:00,Casa da Música,Bolhão,14
T100052,2019-03-06 09:14:00,Trindade,Marquês,13
T100053,2019-03-06 11:32:00,Aliados,Aliados,17
T100054,2019-03-06 16:56:00,Marquês,Casa da Música,6
T100055,2019-03-06 17:08:00,Aliados,Trindade,4
T100056,2019-03-06 17:28:00,Aliados,Marquês,8
T100057,2019-03-06 18:21:00,Aliados,Campanhã,17
T100058,2019-03-06 18:23:00,Aliados,Casa da Música,17
T100059,2019-03-06 18:50:00,Aliados,Bolhão,18
T100060,2019-03-07 09:50:00,Aliados,Marquês,18
T100061,2019-03-07 17:05:00,Aliados,Bolhão,7
T100062,2019-03-07 17:35:00,Aliados,Aliados,11
T100063,2019-03-07 19:36:00,Aliados,Aliados,18
T100064,2019-03-08 07:17:00,Casa da Música,Marquês,14
T100065,2019-03-08 07:18:00,Aliados,Trindade,14
T100066,2019-03-08 08:01:00,São Bento,São Bento,9
T100067,2019-03-08 08:08:00,Casa da Música,Aliados,10
T100068,2019-03-08 11:05:00,Trindade,Bolhão,8
T100069,2019-03-08 11:32:00,Trindade,Trindade,14
T100070,2019-03-08 11:37:00,Trindade,Trindade,14
T100071,2019-03-08 14:42:00,Aliados,São Bento,4
T100072,2019-03-08 16:27:00,Casa da Música,Casa da Música,11
T100073,2019-03-08 16:34:00,Aliados,Marquês,10
T100074,2019-03-08 17:16:00,Trindade,Campanhã,8
T100075,2019-03-08 18:44:00,Aliados,Trindade,7
