trip_id,start_time,start_station,end_station,duration_min
T2495,2019-03-01 07:11:00,Aliados,Bolhão,13
T1638,2019-03-01 07:22:00,Campanhã,Aliados,13
T1352,2019-03-01 07:25:00,São Bento,São Bento,16
T1241,2019-03-01 07:52:00,Casa da Música,Casa da Música,10
T2929,2019-03-01 08:06:00,Aliados,São Bento,3
T2755,2019-03-01 08:14:00,Trindade,Aliados,17
T1373,2019-03-01 08:15:00,Trindade,Bolhão,14
T1418,2019-03-01 08:21:00,Trindade,Trindade,15
T2813,2019-03-01 08:21:00,Trindade,Trindade,11
T2297,2019-03-01 08:26:00,Marquês,Campanhã,15
T2123,2019-03-01 08:27:00,Aliados,Marquês,11
T2361,2019-03-01 08:33:00,Campanhã,Trindade,15
T1013,2019-03-01 08:33:00,Casa da Música,Campanhã,8
T2152,2019-03-01 08:43:00,Aliados,Bolhão,13
T1830,2019-03-01 08:51:00,Campanhã,Bolhão,11
T2798,2019-03-01 09:13:00,Aliados,Aliados,15
T1544,2019-03-01 09:19:00,Trindade,Aliados,13
T1193,2019-03-01 09:23:00,Marquês,Casa da Música,21
T1065,2019-03-01 09:31:00,Aliados,Campanhã,7
T1630,2019-03-01 09:41:00,Campanhã,São Bento,10
T2386,2019-03-01 09:53:00,Casa da Música,Casa da Música,11
T1884,2019-03-01 09:54:00,Aliados,Marquês,9
T1075,2019-03-01 12:06:00,São Bento,Bolhão,16
T1375,2019-03-01 12:20:00,Aliados,Bolhão,15
T2847,2019-03-01 12:25:00,Marquês,Trindade,8
T1229,2019-03-01 12:36:00,Trindade,Bolhão,16
T1197,2019-03-01 12:56:00,Trindade,Trindade,9
T2218,2019-03-01 17:08:00,Casa da Música,Marquês,11
T2115,2019-03-01 17:35:00,Trindade,Aliados,10
T2116,2019-03-01 17:41:00,Marquês,São Bento,9
T2229,2019-03-01 17:44:00,São Bento,Casa da Música,11
T1140,2019-03-01 17:55:00,Aliados,Casa da Música,4
T2360,2019-03-01 18:04:00,Campanhã,Casa da Música,13
T1393,2019-03-01 18:12:00,Casa da Música,Casa da Música,15
T1626,2019-03-01 18:18:00,Casa da Música,Campanhã,14
T2731,2019-03-01 18:20:00,Casa da Música,São Bento,10
T2773,2019-03-01 18:32:00,Marquês,Campanhã,19
T2128,2019-03-01 18:47:00,Trindade,Aliados,15
T1142,2019-03-01 18:50:00,Bolhão,Aliados,17
T2907,2019-03-01 18:51:00,Campanhã,Trindade,7
T1471,2019-03-01 18:53:00,Aliados,São Bento,12
T1849,2019-03-01 19:08:00,Aliados,Aliados,14
T2193,2019-03-01 19:19:00,Bolhão,Aliados,8
T2769,2019-03-01 19:45:00,Trindade,Bolhão,20
T2745,2019-03-01 19:47:00,Campanhã,São Bento,13
T2090,2019-03-02 10:11:00,Trindade,Marquês,30
T2646,2019-03-02 10:32:00,Casa da Música,Aliados,14
T1856,2019-03-02 10:37:00,Bolhão,Bolhão,9
T1419,2019-03-02 10:37:00,Bolhão,Casa da Música,32
T1319,2019-03-02 10:38:00,São Bento,São Bento,16
T2719,2019-03-02 10:41:00,São Bento,Casa da Música,29
T2074,2019-03-02 11:00:00,Bolhão,Casa da Música,25
T1698,2019-03-02 11:02:00,Trindade,São Bento,18
T2033,2019-03-02 11:19:00,São Bento,Campanhã,22
T1840,2019-03-02 11:23:00,Trindade,Bolhão,29
T2259,2019-03-02 11:51:00,Aliados,São Bento,24
T1454,2019-03-02 12:03:00,Campanhã,Aliados,17
T2877,2019-03-02 12:06:00,São Bento,São Bento,18
T2681,2019-03-02 12:09:00,Trindade,Casa da Música,28
T2513,2019-03-02 12:25:00,Aliados,São Bento,27
T2151,2019-03-02 12:32:00,São Bento,Casa da Música,6
T1926,2019-03-02 12:37:00,Aliados,Campanhã,33
T1565,2019-03-02 12:37:00,São Bento,Campanhã,16
T2546,2019-03-02 12:37:00,Bolhão,Marquês,31
T1904,2019-03-02 12:41:00,Trindade,São Bento,31
T2714,2019-03-02 12:57:00,Marquês,Campanhã,27
T2327,2019-03-02 12:59:00,Aliados,Aliados,16
T1761,2019-03-02 13:03:00,Casa da Música,Marquês,11
T1349,2019-03-02 13:05:00,Campanhã,Casa da Música,20
T1181,2019-03-02 13:07:00,Campanhã,Campanhã,32
T2162,2019-03-02 13:09:00,Campanhã,Marquês,24
T1871,2019-03-02 13:20:00,Campanhã,Bolhão,27
T1705,2019-03-02 13:22:00,Trindade,São Bento,22
T1371,2019-03-02 13:24:00,Marquês,Aliados,25
T1584,2019-03-02 13:40:00,Trindade,Campanhã,22
T2236,2019-03-02 13:48:00,Campanhã,Bolhão,11
T1132,2019-03-02 13:55:00,Casa da Música,Bolhão,28
T1868,2019-03-02 13:56:00,São Bento,Campanhã,30
T2169,2019-03-02 14:00:00,Aliados,Bolhão,39
T2310,2019-03-02 14:00:00,Bolhão,Casa da Música,13
T2831,2019-03-02 14:01:00,Trindade,Marquês,34
T1212,2019-03-02 14:06:00,Campanhã,Campanhã,37
T2527,2019-03-02 14:16:00,Bolhão,Bolhão,36
T1411,2019-03-02 14:19:00,Campanhã,Aliados,24
T2986,2019-03-02 14:20:00,Marquês,Aliados,27
T2871,2019-03-02 14:21:00,Trindade,Casa da Música,23
T1047,2019-03-02 14:27:00,Aliados,Casa da Música,30
T2967,2019-03-02 14:34:00,Marquês,Aliados,19
T2643,2019-03-02 14:37:00,Marquês,Trindade,17
T1105,2019-03-02 14:38:00,Casa da Música,Bolhão,22
T1008,2019-03-02 14:38:00,São Bento,São Bento,2
T2580,2019-03-02 14:42:00,Trindade,Casa da Música,22
T1385,2019-03-02 14:44:00,Campanhã,Trindade,31
T1049,2019-03-02 14:53:00,Bolhão,Trindade,26
T2457,2019-03-02 14:55:00,Campanhã,Bolhão,21
T1090,2019-03-02 14:55:00,Aliados,Campanhã,9
T2925,2019-03-02 14:58:00,Casa da Música,Campanhã,24
T1941,2019-03-02 15:01:00,Aliados,Campanhã,19
T1192,2019-03-02 15:05:00,Aliados,São Bento,31
T1174,2019-03-02 15:12:00,Campanhã,Trindade,13
T1617,2019-03-02 15:16:00,Bolhão,Aliados,17
T2383,2019-03-02 15:28:00,Aliados,São Bento,20
T2025,2019-03-02 15:38:00,Casa da Música,Aliados,23
T2238,2019-03-02 15:51:00,Campanhã,Bolhão,29
T1679,2019-03-02 15:53:00,Aliados,Campanhã,20
T1166,2019-03-02 15:56:00,Campanhã,Marquês,23
T2583,2019-03-02 16:30:00,Bolhão,Trindade,33
T1689,2019-03-02 16:30:00,Aliados,Casa da Música,27
T2919,2019-03-02 16:35:00,Casa da Música,Trindade,6
T2733,2019-03-02 16:56:00,Casa da Música,São Bento,20
T1876,2019-03-03 10:01:00,São Bento,Trindade,20
T2869,2019-03-03 10:04:00,Trindade,Casa da Música,22
T2234,2019-03-03 10:23:00,Aliados,São Bento,30
T2737,2019-03-03 10:32:00,Trindade,Trindade,24
T2096,2019-03-03 10:34:00,Trindade,Casa da Música,19
T1863,2019-03-03 10:44:00,Bolhão,Marquês,16
T1521,2019-03-03 10:50:00,Campanhã,Campanhã,26
T2054,2019-03-03 10:54:00,Trindade,Casa da Música,25
T2338,2019-03-03 10:55:00,Campanhã,Aliados,21
T1451,2019-03-03 10:58:00,Aliados,Aliados,27
T1809,2019-03-03 11:00:00,Aliados,Marquês,21
T2390,2019-03-03 11:04:00,Aliados,Casa da Música,28
T1093,2019-03-03 11:04:00,Trindade,Aliados,22
T2319,2019-03-03 11:08:00,Casa da Música,Trindade,32
T1792,2019-03-03 11:19:00,Trindade,São Bento,30
T2743,2019-03-03 11:23:00,Bolhão,Casa da Música,19
T2699,2019-03-03 11:40:00,São Bento,Aliados,23
T2343,2019-03-03 11:43:00,Trindade,Trindade,23
T1513,2019-03-03 11:50:00,São Bento,Aliados,21
T1998,2019-03-03 12:01:00,Aliados,Campanhã,17
T2789,2019-03-03 12:03:00,Marquês,São Bento,22
T2589,2019-03-03 12:04:00,Bolhão,Casa da Música,30
T2063,2019-03-03 12:11:00,Bolhão,Campanhã,19
T1556,2019-03-03 12:16:00,Aliados,Casa da Música,29
T1653,2019-03-03 12:21:00,Campanhã,Casa da Música,12
T2765,2019-03-03 12:26:00,Trindade,São Bento,30
T2389,2019-03-03 12:27:00,Campanhã,São Bento,5
T2098,2019-03-03 12:34:00,Campanhã,Casa da Música,18
T1146,2019-03-03 12:39:00,Aliados,Trindade,32
T1293,2019-03-03 12:44:00,Bolhão,Casa da Música,18
T2577,2019-03-03 12:45:00,Trindade,Bolhão,28
T2207,2019-03-03 13:00:00,Aliados,São Bento,7
T1879,2019-03-03 13:02:00,Casa da Música,Casa da Música,24
T1845,2019-03-03 13:18:00,Campanhã,Aliados,26
T1462,2019-03-03 13:26:00,Campanhã,Trindade,25
T1675,2019-03-03 13:30:00,Trindade,São Bento,20
T2406,2019-03-03 13:30:00,Aliados,São Bento,30
T1596,2019-03-03 13:52:00,Bolhão,Trindade,22
T2230,2019-03-03 13:59:00,Bolhão,Campanhã,29
T1767,2019-03-03 14:00:00,Aliados,Trindade,24
T1531,2019-03-03 14:21:00,Trindade,Aliados,27
