id,type,latitude,longitude,slots,bikes,updateTime
1,BIKE,41.42251,2.15975,26,13,06/03/19 15:26:02
1,BIKE,41.42251,2.15975,26,18,08/03/19 06:05:41
1,BIKE,41.42251,2.15975,26,21,11/03/19 09:21:46
1,BIKE,41.42251,2.15975,26,15,11/03/19 12:19:16
1,BIKE,41.42251,2.15975,26,8,02/03/19 21:27:06
1,BIKE,41.42251,2.15975,26,9,06/03/19 22:45:37
1,BIKE,41.42251,2.15975,26,14,04/03/19 16:05:55
1,BIKE,41.42251,2.15975,26,13,05/03/19 15:55:41
1,BIKE,41.42251,2.15975,26,15,12/03/19 15:28:27
1,BIKE,41.42251,2.15975,26,18,07/03/19 07:21:36
1,BIKE,41.42251,2.15975,26,14,07/03/19 12:41:51
1,BIKE,41.42251,2.15975,26,9,14/03/19 22:16:47
1,BIKE,41.42251,2.15975,26,17,07/03/19 12:42:39
1,BIKE,41.42251,2.15975,26,17,11/03/19 09:24:57
1,BIKE,41.42251,2.15975,26,17,14/03/19 10:28:23
1,BIKE,41.42251,2.15975,26,12,14/03/19 18:11:25
1,BIKE,41.42251,2.15975,26,24,05/03/19 06:12:17
1,BIKE,41.42251,2.15975,26,8,06/03/19 22:51:44
1,BIKE,41.42251,2.15975,26,13,01/03/19 20:34:57
1,BIKE,41.42251,2.15975,26,14,11/03/19 15:25:23
1,BIKE,41.42251,2.15975,26,15,06/03/19 13:46:12
1,BIKE,41.42251,2.15975,26,13,01/03/19 18:54:02
1,BIKE,41.42251,2.15975,26,15,03/03/19 15:09:34
1,BIKE,41.42251,2.15975,26,16,03/03/19 14:59:40
1,BIKE,41.42251,2.15975,26,17,02/03/19 11:00:51
1,BIKE,41.42251,2.15975,26,14,01/03/19 13:36:22
1,BIKE,41.42251,2.15975,26,11,08/03/19 18:15:12
1,BIKE,41.42251,2.15975,26,20,04/03/19 06:15:00
1,BIKE,41.42251,2.15975,26,20,14/03/19 06:29:22
1,BIKE,41.42251,2.15975,26,14,09/03/19 18:36:44
1,BIKE,41.42251,2.15975,26,16,09/03/19 12:26:27
1,BIKE,41.42251,2.15975,26,13,08/03/19 19:42:42
1,BIKE,41.42251,2.15975,26,22,10/03/19 06:57:31
1,BIKE,41.42251,2.15975,26,10,11/03/19 21:10:31
1,BIKE,41.42251,2.15975,26,16,05/03/19 08:14:29
1,BIKE,41.42251,2.15975,26,13,09/03/19 13:36:12
1,BIKE,41.42251,2.15975,26,7,08/03/19 22:24:01
1,BIKE,41.42251,2.15975,26,21,10/03/19 07:18:57
1,BIKE,41.42251,2.15975,26,11,11/03/19 17:30:31
1,BIKE,41.42251,2.15975,26,14,11/03/19 18:41:53
2,BIKE,41.449721,2.139801,29,18,09/03/19 13:54:00
2,BIKE,41.449721,2.139801,29,24,01/03/19 07:56:16
2,BIKE,41.449721,2.139801,29,18,12/03/19 14:49:05
2,BIKE,41.449721,2.139801,29,16,14/03/19 13:20:19
2,BIKE,41.449721,2.139801,29,11,08/03/19 20:53:21
2,BIKE,41.449721,2.139801,29,14,07/03/19 17:42:23
2,BIKE,41.449721,2.139801,29,18,03/03/19 11:10:44
2,BIKE,41.449721,2.139801,29,21,07/03/19 06:57:50
2,BIKE,41.449721,2.139801,29,14,09/03/19 16:14:49
