id,type,latitude,longitude,streetName,slots,bikes
1,BIKE,41.386007,2.160819,Via Laietana,34,24
2,BIKE,41.387792,2.167133,Carrer de Tarragona,29,24
3,BIKE,41.384355,2.164129,Passeig de Sant Joan,27,20
4,ELECTRIC_BIKE,41.380656,2.165147,Passeig de Sant Joan,33,29
5,BIKE,41.383272,2.176365,Rambla Catalunya,36,32
6,BIKE,41.38005,2.165155,Carrer de Pau Claris,27,14
7,BIKE,41.386361,2.169805,Napols,19,16
8,ELECTRIC_BIKE,41.394041,2.175306,Carrer de Mallorca,31,29
9,BIKE,41.383047,2.166498,Avinguda Meridiana,22,6
10,BIKE,41.382277,2.16933,Carrer del Rossello,22,1
11,BIKE,41.388939,2.170663,Rambla Catalunya,21,3
12,ELECTRIC_BIKE,41.388141,2.170383,Carrer de Muntaner,21,0
13,BIKE,41.386632,2.16265,Carrer de Mallorca,35,15
14,BIKE,41.380417,2.170457,Avinguda Diagonal,24,0
15,BIKE,41.385824,2.178153,Carrer de Pau Claris,20,5
16,ELECTRIC_BIKE,41.390172,2.160717,Carrer de Arago,21,5
17,BIKE,41.377935,2.175156,Passeig de Gracia,42,30
18,BIKE,41.383254,2.170716,Gran Via Corts Catalanes,24,6
19,BIKE,41.374593,2.166151,Carrer de Sardenya,23,22
20,ELECTRIC_BIKE,41.378263,2.182002,Carrer de Balmes,36,6
21,BIKE,41.37495,2.174574,Rambla Catalunya,34,34
22,BIKE,41.384589,2.162804,Avinguda Meridiana,28,16
23,BIKE,41.378395,2.170447,Carrer de Tarragona,36,9
24,ELECTRIC_BIKE,41.387628,2.17346,Carrer de Tarragona,24,0
25,BIKE,41.386941,2.168867,Carrer de Mallorca,20,6
26,BIKE,41.384878,2.174097,Napols,23,14
27,BIKE,41.370899,2.169601,Via Laietana,19,2
28,ELECTRIC_BIKE,41.382768,2.174003,Carrer de Mallorca,36,6
29,BIKE,41.385709,2.178631,Avinguda Meridiana,22,2
30,BIKE,41.38668,2.165946,Carrer de Provenca,26,18
31,BIKE,41.405016,2.18886,Carrer de Arago,21,1
32,ELECTRIC_BIKE,41.401683,2.189482,Carrer de Mallorca,36,0
33,BIKE,41.404636,2.192763,Carrer de Sardenya,21,10
34,BIKE,41.398064,2.190396,Passeig de Sant Joan,27,8
35,BIKE,41.401103,2.190014,Avinguda Diagonal,36,21
36,ELECTRIC_BIKE,41.403019,2.18543,Rambla Catalunya,27,26
37,BIKE,41.408494,2.190942,Napols,35,30
38,BIKE,41.409726,2.188782,Carrer del Rossello,35,19
39,BIKE,41.397382,2.196831,Via Laietana,32,21
40,ELECTRIC_BIKE,41.400027,2.194265,Carrer de Sardenya,32,26
41,BIKE,41.407235,2.190879,Carrer de Balmes,28,12
42,BIKE,41.394038,2.194342,Carrer de Mallorca,29,19
43,BIKE,41.401684,2.189301,Avinguda Diagonal,33,7
44,ELECTRIC_BIKE,41.403514,2.196261,Passeig de Sant Joan,26,16
45,BIKE,41.410285,2.190973,Roger de Flor,35,8
46,BIKE,41.407447,2.193917,Carrer de Arago,34,6
47,BIKE,41.402364,2.184546,Carrer de Pau Claris,25,19
48,ELECTRIC_BIKE,41.402157,2.192733,Roger de Flor,25,14
49,BIKE,41.402749,2.182559,Passeig de Sant Joan,31,12
50,BIKE,41.411618,2.180823,Avinguda Diagonal,35,1
51,BIKE,41.371478,2.143512,Gran Via Corts Catalanes,19,4
52,ELECTRIC_BIKE,41.3685,2.1426,Via Laietana,19,16
53,BIKE,41.37382,2.134832,Carrer de Pau Claris,22,10
54,BIKE,41.384224,2.139604,Carrer de Tarragona,26,25
55,BIKE,41.368841,2.140176,Avinguda Meridiana,21,19
56,ELECTRIC_BIKE,41.36988,2.134728,Carrer de Pau Claris,27,23
57,BIKE,41.374027,2.141299,Carrer de Tarragona,28,0
58,BIKE,41.375465,2.13571,Napols,36,1
59,BIKE,41.372118,2.14486,Avinguda Meridiana,32,19
60,ELECTRIC_BIKE,41.37197,2.140964,Avinguda Meridiana,22,7
