error,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime
0,25,3,22,2019-03-01 00:00:00
0,29,3,26,2019-03-01 00:30:00
0,17,2,15,2019-03-01 01:00:00
0,9,1,8,2019-03-01 01:30:00
0,13,2,11,2019-03-01 02:00:00
0,6,1,5,2019-03-01 02:30:00
0,19,2,17,2019-03-01 03:00:00
0,34,4,30,2019-03-01 03:30:00
0,16,2,14,2019-03-01 04:00:00
0,15,2,13,2019-03-01 04:30:00
0,46,6,40,2019-03-01 05:00:00
0,44,5,39,2019-03-01 05:30:00
0,96,12,84,2019-03-01 06:00:00
0,84,10,74,2019-03-01 06:30:00
0,190,23,167,2019-03-01 07:00:00
0,198,24,174,2019-03-01 07:30:00
0,274,33,241,2019-03-01 08:00:00
0,285,34,251,2019-03-01 08:30:00
0,207,25,182,2019-03-01 09:00:00
0,215,26,189,2019-03-01 09:30:00
0,178,21,157,2019-03-01 10:00:00
0,197,24,173,2019-03-01 10:30:00
0,190,23,167,2019-03-01 11:00:00
0,208,25,183,2019-03-01 11:30:00
0,222,27,195,2019-03-01 12:00:00
0,218,26,192,2019-03-01 12:30:00
0,195,23,172,2019-03-01 13:00:00
0,219,26,193,2019-03-01 13:30:00
0,204,24,180,2019-03-01 14:00:00
0,206,25,181,2019-03-01 14:30:00
0,182,22,160,2019-03-01 15:00:00
0,194,23,171,2019-03-01 15:30:00
0,203,24,179,2019-03-01 16:00:00
0,205,25,180,2019-03-01 16:30:00
0,278,33,245,2019-03-01 17:00:00
0,255,31,224,2019-03-01 17:30:00
0,320,38,282,2019-03-01 18:00:00
0,331,40,291,2019-03-01 18:30:00
0,238,29,209,2019-03-01 19:00:00
0,244,29,215,2019-03-01 19:30:00
0,171,21,150,2019-03-01 20:00:00
0,171,21,150,2019-03-01 20:30:00
0,100,12,88,2019-03-01 21:00:00
0,116,14,102,2019-03-01 21:30:00
0,86,10,76,2019-03-01 22:00:00
0,51,6,45,2019-03-01 22:30:00
0,50,6,44,2019-03-01 23:00:00
0,41,5,36,2019-03-01 23:30:00
0,6,1,5,2019-03-02 00:00:00
0,38,5,33,2019-03-02 00:30:00
0,20,2,18,2019-03-02 01:00:00
0,0,0,0,2019-03-02 01:30:00
0,11,1,10,2019-03-02 02:00:00
0,17,2,15,2019-03-02 02:30:00
0,8,1,7,2019-03-02 03:00:00
0,18,2,16,2019-03-02 03:30:00
0,11,1,10,2019-03-02 04:00:00
0,20,2,18,2019-03-02 04:30:00
0,39,5,34,2019-03-02 05:00:00
0,14,2,12,2019-03-02 05:30:00
0,55,7,48,2019-03-02 06:00:00
0,47,6,41,2019-03-02 06:30:00
0,106,13,93,2019-03-02 07:00:00
0,90,11,79,2019-03-02 07:30:00
0,153,18,135,2019-03-02 08:00:00
0,157,19,138,2019-03-02 08:30:00
0,137,16,121,2019-03-02 09:00:00
0,140,17,123,2019-03-02 09:30:00
0,94,11,83,2019-03-02 10:00:00
0,100,12,88,2019-03-02 10:30:00
0,121,15,106,2019-03-02 11:00:00
0,89,11,78,2019-03-02 11:30:00
0,115,14,101,2019-03-02 12:00:00
0,120,14,106,2019-03-02 12:30:00
0,139,17,122,2019-03-02 13:00:00
0,132,16,116,2019-03-02 13:30:00
0,109,13,96,2019-03-02 14:00:00
0,108,13,95,2019-03-02 14:30:00
0,107,13,94,2019-03-02 15:00:00
0,128,15,113,2019-03-02 15:30:00
0,113,14,99,2019-03-02 16:00:00
0,115,14,101,2019-03-02 16:30:00
0,150,18,132,2019-03-02 17:00:00
0,144,17,127,2019-03-02 17:30:00
0,174,21,153,2019-03-02 18:00:00
0,163,20,143,2019-03-02 18:30:00
0,135,16,119,2019-03-02 19:00:00
0,129,15,114,2019-03-02 19:30:00
0,107,13,94,2019-03-02 20:00:00
0,101,12,89,2019-03-02 20:30:00
0,63,8,55,2019-03-02 21:00:00
0,71,9,62,2019-03-02 21:30:00
0,34,4,30,2019-03-02 22:00:00
0,51,6,45,2019-03-02 22:30:00
0,22,3,19,2019-03-02 23:00:00
0,29,3,26,2019-03-02 23:30:00
0,0,0,0,2019-03-03 00:00:00
0,18,2,16,2019-03-03 00:30:00
0,0,0,0,2019-03-03 01:00:00
0,0,0,0,2019-03-03 01:30:00
0,6,1,5,2019-03-03 02:00:00
0,0,0,0,2019-03-03 02:30:00
0,12,1,11,2019-03-03 03:00:00
0,37,4,33,2019-03-03 03:30:00
0,2,0,2,2019-03-03 04:00:00
0,5,1,4,2019-03-03 04:30:00
0,24,3,21,2019-03-03 05:00:00
0,28,3,25,2019-03-03 05:30:00
0,50,6,44,2019-03-03 06:00:00
0,50,6,44,2019-03-03 06:30:00
0,113,14,99,2019-03-03 07:00:00
0,111,13,98,2019-03-03 07:30:00
0,147,18,129,2019-03-03 08:00:00
0,159,19,140,2019-03-03 08:30:00
0,127,15,112,2019-03-03 09:00:00
0,114,14,100,2019-03-03 09:30:00
0,113,14,99,2019-03-03 10:00:00
0,100,12,88,2019-03-03 10:30:00
0,124,15,109,2019-03-03 11:00:00
0,115,14,101,2019-03-03 11:30:00
0,122,15,107,2019-03-03 12:00:00
0,114,14,100,2019-03-03 12:30:00
0,122,15,107,2019-03-03 13:00:00
0,100,12,88,2019-03-03 13:30:00
0,99,12,87,2019-03-03 14:00:00
0,117,14,103,2019-03-03 14:30:00
0,84,10,74,2019-03-03 15:00:00
0,120,14,106,2019-03-03 15:30:00
0,97,12,85,2019-03-03 16:00:00
0,127,15,112,2019-03-03 16:30:00
0,136,16,120,2019-03-03 17:00:00
0,155,19,136,2019-03-03 17:30:00
0,178,21,157,2019-03-03 18:00:00
0,158,19,139,2019-03-03 18:30:00
0,150,18,132,2019-03-03 19:00:00
0,152,18,134,2019-03-03 19:30:00
0,93,11,82,2019-03-03 20:00:00
0,90,11,79,2019-03-03 20:30:00
0,61,7,54,2019-03-03 21:00:00
0,52,6,46,2019-03-03 21:30:00
0,52,6,46,2019-03-03 22:00:00
0,32,4,28,2019-03-03 22:30:00
0,21,3,18,2019-03-03 23:00:00
0,12,1,11,2019-03-03 23:30:00
0,17,2,15,2019-03-04 00:00:00
0,10,1,9,2019-03-04 00:30:00
0,35,4,31,2019-03-04 01:00:00
0,18,2,16,2019-03-04 01:30:00
0,30,4,26,2019-03-04 02:00:00
0,18,2,16,2019-03-04 02:30:00
