error,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime
0,25,3,22,2019-03-04 00:00:00
0,28,3,25,2019-03-04 00:15:00
0,22,3,19,2019-03-04 00:30:00
0,16,2,14,2019-03-04 00:45:00
0,15,2,13,2019-03-04 01:00:00
0,10,1,9,2019-03-04 01:15:00
0,21,3,18,2019-03-04 01:30:00
0,33,4,29,2019-03-04 01:45:00
0,13,2,11,2019-03-04 02:00:00
0,12,1,11,2019-03-04 02:15:00
0,23,3,20,2019-03-04 02:30:00
0,22,3,19,2019-03-04 02:45:00
0,19,2,17,2019-03-04 03:00:00
0,9,1,8,2019-03-04 03:15:00
0,18,2,16,2019-03-04 03:30:00
0,25,3,22,2019-03-04 03:45:00
0,9,1,8,2019-03-04 04:00:00
0,17,2,15,2019-03-04 04:15:00
0,3,0,3,2019-03-04 04:30:00
0,9,1,8,2019-03-04 04:45:00
0,22,3,19,2019-03-04 05:00:00
0,38,5,33,2019-03-04 05:15:00
0,27,3,24,2019-03-04 05:30:00
0,43,5,38,2019-03-04 05:45:00
0,97,12,85,2019-03-04 06:00:00
0,93,11,82,2019-03-04 06:15:00
0,70,8,62,2019-03-04 06:30:00
0,90,11,79,2019-03-04 06:45:00
0,190,23,167,2019-03-04 07:00:00
0,191,23,168,2019-03-04 07:15:00
0,175,21,154,2019-03-04 07:30:00
0,185,22,163,2019-03-04 07:45:00
0,280,34,246,2019-03-04 08:00:00
0,282,34,248,2019-03-04 08:15:00
0,301,36,265,2019-03-04 08:30:00
0,282,34,248,2019-03-04 08:45:00
0,230,28,202,2019-03-04 09:00:00
0,239,29,210,2019-03-04 09:15:00
0,224,27,197,2019-03-04 09:30:00
0,229,27,202,2019-03-04 09:45:00
0,201,24,177,2019-03-04 10:00:00
0,201,24,177,2019-03-04 10:15:00
0,188,23,165,2019-03-04 10:30:00
0,201,24,177,2019-03-04 10:45:00
0,219,26,193,2019-03-04 11:00:00
0,190,23,167,2019-03-04 11:15:00
0,214,26,188,2019-03-04 11:30:00
0,206,25,181,2019-03-04 11:45:00
0,214,26,188,2019-03-04 12:00:00
0,240,29,211,2019-03-04 12:15:00
0,228,27,201,2019-03-04 12:30:00
0,208,25,183,2019-03-04 12:45:00
0,226,27,199,2019-03-04 13:00:00
