fecha,origen,destino,viajes
20250303,01187,36269,725.035
20250303,01250,12017,801.372
20250303,01090,48002,760.558
20250303,01040,42036,356.365
20250303,01140,18084,318.798
20250303,01297,24143,551.728
20250303,01151,27298,738.276
20250303,01210,33102,287.941
20250303,02253,09257,154.275
20250303,02184,24011,521.613
20250303,02291,25242,610.796
20250303,02275,23154,507.561
20250303,02114,13297,270.074
20250303,02004,51207,276.473
20250303,02216,20147,767.437
20250303,02002,35047,328.727
20250303,03264,10153,780.777
20250303,03212,34013,191.367
20250303,03222,13162,516.062
20250303,03184,46206,586.584
20250303,03109,06018,422.353
20250303,03179,17068,756.744
20250303,03045,21114,883.423
20250303,03118,31132,617.637
20250303,04164,36287,463.445
20250303,04046,19072,433.949
20250303,04248,06122,287.703
20250303,04290,01201,354.328
20250303,04149,46028,222.66
20250303,04199,44253,857.06
20250303,04182,48288,233.459
20250303,05169,11225,550.815
20250303,05278,03054,809.564
20250303,05290,34175,413.505
20250303,05171,52123,306.802
20250303,05214,02290,484.83
20250303,05262,40164,371.287
20250303,05134,40017,410.305
20250303,06241,02272,874.376
20250303,06037,06197,454.012
20250303,06024,28130,388.484
20250303,06261,04177,653.274
20250303,06259,19271,716.893
20250303,07236,48299,848.067
20250303,07046,16002,707.322
20250303,07223,43193,446.745
20250303,07041,45244,131.132
20250303,07259,33146,520.143
20250303,07238,05218,296.61
20250303,07058,11273,259.937
20250303,08109,21104,5586.989
20250303,08260,30295,2156.63
20250303,08102,05285,3033.505
20250303,08061,51048,3422.312
20250303,08155,47269,4545.831
20250303,08173,31249,5232.412
20250303,08128,20124,5458.391
20250303,08029,04075,3413.94
20250303,09162,50223,748.711
20250303,09076,36203,679.327
20250303,09041,33276,379.492
20250303,09291,33120,278.271
20250303,09051,03141,834.062
20250303,09064,43252,207.676
20250303,10181,48144,583.854
20250303,10137,35113,869.854
20250303,10092,40140,609.919
20250303,10124,34027,168.255
20250303,10055,36124,715.943
20250303,10210,43268,208.3
20250303,10219,48274,745.589
20250303,11263,47157,834.196
20250303,11089,03051,135.768
20250303,11010,14076,313.884
20250303,11284,10291,150.409
20250303,11170,16177,249.489
20250303,11035,36027,362.245
20250303,11007,30281,539.949
20250303,12243,23197,596.386
20250303,12071,10228,150.955
20250303,12172,13240,868.855
20250303,12270,45005,384.155
20250303,12016,44096,207.919
20250303,12091,33038,364.703
20250303,12239,35258,741.759
20250303,13039,44230,808.444
20250303,13149,11175,618.225
20250303,13172,14183,195.072
20250303,13136,35016,762.631
20250303,13189,36241,375.191
20250303,13025,38095,816.499
20250303,14042,09104,627.63
20250303,14008,35065,559.694
20250303,14190,50268,317.164
20250303,14114,46137,632.65
20250303,14178,06177,224.303
20250303,14114,10199,767.831
20250303,14157,20092,540.827
20250303,14112,16065,312.979
20250303,15099,45137,183.595
20250303,15104,40232,353.761
20250303,15174,09024,715.281
20250303,15271,07151,221.934
20250303,15040,34025,826.986
20250303,16081,44092,769.58
20250303,16146,33256,459.154
20250303,16056,10265,412.792
