route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
L6,L6,Barcelona Pl. Catalunya - Sarrià,1,http://www.fgc.cat/cat/barcelona-valles.asp?linia=L6,797FBC,FFFFFF
L7,L7,Barcelona Pl. Catalunya - Av Tibidabo,1,http://www.fgc.cat/cat/barcelona-valles.asp?linia=L7,B2600B,FFFFFF
L8,L8,Barcelona Pl. Espanya - Molí Nou,1,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8,E274AA,FFFFFF
R5,R5,Barcelona Pl. Espanya - Manresa,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5,3dbfc3,FFFFFF
R6,R6,Barcelona Pl. Espanya - Igualada,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6,b3b3b3,FFFFFF
S1,S1,Barcelona Pl. Catalunya - Terrassa Nacions Unides,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S1,EF7900,FFFFFF
S2,S2,Barcelona Pl. Catalunya - Sabadell Parc del Nord,2,http://www.fgc.cat/cat/barcelona-valles.asp?linia=S2,88BB0B,FFFFFF
S3,S3,Barcelona Pl. Espanya - Can Ros,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S33,4F868E,FFFFFF
S4,S4,Barcelona Pl. Espanya - Olesa de Montserrat,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4,A78600,FFFFFF
S8,S8,Barcelona Pl. Espanya - Martorell Enllaç,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S8,49C0DE,FFFFFF
R60,R60,Barcelona Pl. Espanya - Igualada,2,http://fgc.cat/cat/llobregat-anoia.asp?linia=R60,5b5b5b,FFFFFF
R50,R50,Barcelona Pl. Espanya- Manresa,2,http://fgc.cat/cat/llobregat-anoia.asp?linia=R50,00738a,FFFFFF
L12,L12,Sarrià - Reina Elisenda,1,http://fgc.cat/cat/barcelona-valles.asp?linia=L12,b2aed3,FFFFFF
S9,S9,Barcelona Pl. Espanya - Quatre Camins,2,,DF4661,FFFFFF
MM,MM,Cremallera Montserrat,7,,000000,FFFFFF
FV,FV,Funicular de Vallvidrera,7,http://www.fgc.cat/cat/barcelona-valles.asp,0A57A3,FFFFFF
R63,R63,Barcelona Pl. Espanya - Igualada,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6,b3b3b3,FFFFFF
R53,R53,Barcelona Pl. Espanya - Manresa,2,http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5,3dbfc3,FFFFFF
RL1,RL1,Lleida - La Pobla,2,,FF8000,FFFFFF
RL2,RL2,Lleida - La Pobla,2,,FF8000,FFFFFF
L1,L1,Cremallera de Nuria,7,,000000,FFFFFF
